안나바, 알제리	라바 비타트 공항	AAE
블레넘, 뉴질랜드	우드본공항	BHE
블레넘, 뉴질랜드	Blenheim	BHE
Bisha, 사우디아라비아	비샤 도메스틱 에어포트	BHH
Qal`at Bishah, Saudi Arabia	Bisha	BHH
바히아 블랑카, 아르헨티나	Bahía Blanca	BHI
바히아 블랑카, 아르헨티나	코만단테 에스포라 에어포트	BHI
비후지, 인도	부지 에어포트	BHJ
비후지, 인도	Bhuj	BHJ
비후지, 인도	Shyamji Krishna Verma	BHJ
비후지, 인도	Rudra Mata	BHJ
Buxoro, 우즈베키스탄	부크하라국제공항	BHK
부하라, Uzbekistan	부크하라국제공항	BHK
부하라, 우즈베키스탄	부크하라국제공항	BHK
부하라, 우즈베키스탄	Bukhara	BHK
버밍엄, AL, 미국	버밍햄-셔틀스워스 국제공항	BHM
버밍엄, AL, 미국	Birmingham	BHM
보팔, 인도	비호팔공항	BHO
브로큰힐, NSW, 호주	브로컨힐공항	BHQ
Bharatpur, 네팔	바랏푸르 에어포트	BHR
배서스트, NSW, 호주	배서스트 에어포트	BHS
배서스트, NSW, 호주	Raglan	BHS
비하브나가르, 인도	Bhavnagar	BHU
비하브나가르, 인도	바브나가르공항	BHU
바하왈푸르, 파키스탄	Bahawalpur	BHV
바하왈푸르, 파키스탄	바하왈푸르 공항	BHV
버밍엄, 영국	버밍엄 국제공항	BHX
버밍엄, 영국	Birmingham	BHX
베이하이, 중국	북해공항	BHY
벨루오리존치, 브라질	모든 공항	BHZ
바스티아, 프랑스	바스티아-포레타 공항	BIA
뉴 쇼어햄, RI, 미국	블록아일내드주립공항	BID
뉴 쇼어햄, RI, 미국	Block Island	BID
Biak, Indonesia	Frans Kaisiepo	BIK
비아크, 인도네시아	프란스 카이시에포 에어포트	BIK
비아크, 인도네시아	Frans Kaisiepo	BIK
비아크, 인도네시아	Mokmer	BIK
빌링스, MT, 미국	빌링스 로건 국제공항	BIL
빌링스, MT, 미국	Billings Logan Intl	BIL
Port Royal, 바하마	사우스 비미니 에어포트	BIM
바미안, 아프가니스탄	Bamiyan	BIN
바미안, 아프가니스탄	바미안 에어포트	BIN
빌바오, 스페인	Bilbao	BIO
빌바오, 스페인	빌바오공항	BIO
비아리츠, 프랑스	Biarritz Parme	BIQ
비아리츠, 프랑스	비아리츠-앙글레-바욘 공항	BIQ
비아리츠, 프랑스	Biarritz Pays Basque	BIQ
비랏나가르, 네팔	비라트나가르 에어포트	BIR
비즈마크, ND, 미국	비스마크시립공항	BIS
베자이아, 알제리	Abane Ramdane	BJA
베자이아, 알제리	Bejaia	BJA
베자이아, 알제리	숨맘 공항	BJA
Bojnord, 이란	Bojnord	BJB
Baatsfjord, Norway	Batsfjord	BJF
보츠피요르드, 노르웨이	바트스피오르 에어포트	BJF
베미지, MN, 미국	Bemidji	BJI
베미지, MN, 미국	버미지지역공항	BJI
City of Banjul, Gambia	Yundum Intl	BJL
반줄, GMB	반줄 국제공항	BJL
반줄, 감비아	반줄 국제공항	BJL
반줄, 감비아	Yundum Intl	BJL
부줌부라, BDI	부줌부라 국제공항	BJM
부줌부라, 부룬디	부줌부라 국제공항	BJM
부줌부라, 부룬디	Bujumbura	BJM
바히르 다르, 에티오피아	바히르다르 에어포트	BJR
Beijing, China	All airports	BJS
베이징, 중국	모든 공항	BJS
벤토타, 스리랑카	Bentota River	BJT
보드룸, 터키	밀라스-보드룸 공항	BJV
보드룸, 터키	Milas-Bodrum	BJV
Bajawa, 인도네시아	Soa	BJW
레온, 멕시코	Del Bajio	BJX
레온, 멕시코	델바히오공항	BJX
Beograd, Serbia	Batajnica	BJY
베오그라드, SRB	Batajnica	BJY
베오그라드, 세르비아	Batajnica	BJY
바다호즈, 스페인	바다요즈공항	BJZ
바다호즈, 스페인	Talaveral La Real	BJZ
비카네르, 인도	Bikaner	BKB
비카네르, 인도	비카네르공항	BKB
Buckland, AK, 미국	버클랜드 에어포트	BKC
브랜슨, 미주리주, 미국	브랜슨 에어포트	BKG
코타키나발루, 말레이시아	코타키나발루국제공항	BKI
코타키나발루, 말레이시아	Kota Kinabalu	BKI
방콕, 태국	Bangkok Intl	BKK
방콕, 태국	모든 공항	BKK
방콕, 태국	Bangkok Suvarnabhumi	BKK
Bakalalan, 말레이시아	바켈라란 공항	BKM
Balkanabat, 투르크메니스탄	Balkanabat	BKN
Balkanabat, 투르크메니스탄	Birni Nkoni	BKN
바마코, MLI	바마코-세누 국제공항	BKO
바마코, 말리	Bamako	BKO
바마코, 말리	바마코-세누 국제공항	BKO
블랙골, QLD, 호주	블래콜 에어포트	BKQ
벵쿨루, 인도네시아	파트마와티 수카르노 에어포트	BKS
벵쿨루, 인도네시아	Fatmawati Soekarno	BKS
벵쿨루, 인도네시아	Padangkemiling	BKS
베클리, WV, 미국	Beckley	BKW
베클리, WV, 미국	롤리카운티	BKW
베클리, WV, 미국	Raleigh County	BKW
부카부, 콩고민주공화국	카부무 에어포트	BKY
Bukoba, 탄자니아	Bukoba	BKZ
Panamá Pacifico	파나마시티, 파나마	BLB
파나마시티, 파나마	Panamá Pacifico	BLB
Vegas, NV	Boulder City	BLD
라스베이거스, NV, 미국	볼더 시티 뮤니시플 에어포트	BLD
라스베이거스, NV, 미국	Boulder City	BLD
보를란게, 스웨덴	보를랑게공항	BLE
벨링햄, WA, 미국	벨링햄 국제공항	BLI
바트나, 알제리	바트나 공항	BLJ
블랙풀, 영국	블랙풀국제공항	BLK
빌룬트, 덴마크	Billund	BLL
빌룬트, 덴마크	빌룬드공항	BLL
볼로나, 이탈리아	굴리엘모마르코니공항	BLQ
볼로나, 이탈리아	Bologna Guglielmo Marconi	BLQ
볼로나, 이탈리아	Guglielmo Marconi	BLQ
벵갈루루, 인도	벵갈루루국제공항	BLR
벵갈루루, 인도	Kempegowda	BLR
벨빌, IL, 미국	Scott Afb/Midamerica	BLV
벨빌, IL, 미국	미드아메리카 세인트 루이스 에어포트	BLV
블랜타이어, MWI	칠레카 국제공항	BLZ
블랜타이어, 말라위	칠레카 국제공항	BLZ
브롬마공항	스톡홀름, 스웨덴	BMA
스톡홀름, 스웨덴	브롬마공항	BMA
스톡홀름, 스웨덴	Bromma	BMA
Bumba, 콩고민주공화국	Bumba	BMB
브룸, WA, 호주	브룸공항	BME
블루밍턴, IL, 미국	Bloomington-Normal	BMI
블루밍턴, IL, 미국	센트럴 일리노이 리저널공항	BMI
바모, 미얀마	Bhamo	BMO
바모, 미얀마	바모 에어포트	BMO
비마, 인도네시아	Bima	BMU
비마, 인도네시아	비마 에어포트	BMU
Buon Ma Thuot, Vietnam	Phung-Duc	BMV
부온마투옷, 베트남	부온 마 투옷 공항	BMV
부온마투옷, 베트남	Phung-Duc	BMV
Bordj Badji Mokhtar, 알제리	보르즈 모흐타르 에어포트	BMW
Bélep, 뉴칼레도니아	Belep Island	BMY
Bélep, 뉴칼레도니아	Waala	BMY
내슈빌, TN, 미국	내슈빌국제공항	BNA
내슈빌, TN, 미국	Nashville Intl	BNA
Beni, 콩고민주공화국	Beni	BNC
Bandar Abbas, 이란	Bandar Abbas	BND
브리즈번, QLD, 호주	브리즈번국제공항	BNE
브리즈번, QLD, 호주	Brisbane	BNE
베닌시티, 나이지리아	베닌 에어포트	BNI
발리나, NSW, 호주	발리나바이런공항	BNK
발리나, NSW, 호주	Ballina Byron	BNK
발리나, NSW, 호주	Ballina Byron Gateway	BNK
브로노이선드, 노르웨이	브로노이순공항	BNN
바냐루카, 보스니아헤르체고비나	바냐루카 인터내셔널 에어포트	BNX
바냐루카, 보스니아헤르체고비나	Banja Luka	BNX
Bellona Island, 솔로몬제도	벨로나/아누아 에어포트	BNY
Vaitape, French Polynesia	Motu-Mute	BOB
바이타페, PYF	모투무테공항	BOB
바이타페, 프랑스령 폴리네시아	모투무테공항	BOB
바이타페, 프랑스령 폴리네시아	Bora Bora	BOB
바이타페, 프랑스령 폴리네시아	Motu-Mute	BOB
보르도, 프랑스	보르도-메리냑 공항	BOD
보르도, 프랑스	Bordeaux-Merignac	BOD
보고타, 콜롬비아	엘부에보두라도국제공항	BOG
보고타, 콜롬비아	El Dorado	BOG
보고타, 콜롬비아	Eldorado	BOG
본머스, 영국	본머스공항	BOH
본머스, 영국	Bournemouth	BOH
Boise, Idaho	Air Term. Gowen Fld	BOI
보이시, ID, 미국	Air Term. Gowen Fld	BOI
보이시, ID, 미국	보이시 에어 터미널 에어포트	BOI
부르가스, BGR	부르가스 공항	BOJ
부르가스, 불가리아	부르가스 공항	BOJ
부르가스, 불가리아	Burgas	BOJ
Mumbai, India	Chhatrapati Shivaji Intl	BOM
뭄바이, 인도	차트라파티시바지공항	BOM
뭄바이, 인도	Chhatrapati Shivaji Intl	BOM
뭄바이, 인도	Sahar Intl	BOM
Kralendijk, Bonaire, Sint Eustatius and Saba	Flamingo Int.	BON
크랄렌디크, 보나이러	플라밍고 국제공항	BON
크랄렌디크, 보나이러	Flamingo Int.	BON
보도, 노르웨이	Bodø	BOO
보도, 노르웨이	보되 공항	BOO
보스턴, MA, 미국	로건국제공항	BOS
보스턴, MA, 미국	General Edward Lawrence Logan Intl	BOS
보스턴, MA, 미국	Logan Intl	BOS
Bobo Dioulasso, Burkina Faso	Borgo	BOY
보보디울라소, BFA	보보디울라소 공항	BOY
보보디울라소, 부르키나파소	보보디울라소 공항	BOY
친황다오, 중국	Beidaihe	BPE
친황다오, 중국	Qinhuangdao Beidaihe	BPE
바라 도 가르사스, 브라질	바하 두 가르카스 에어포트	BPG
보러, 중국	Bole Alashankou	BPL
Balikpapan, Indonesia	Sepinnggan	BPN
발릭파판, 인도네시아	세핑간국제공항	BPN
발릭파판, 인도네시아	Sepinnggan	BPN
포르투세구루, 브라질	포르투세구로 국제공항	BPS
포르투세구루, 브라질	Porto Seguro	BPS
보몬트, TX, 미국	잭 브룩스 리저널공항	BPT
보몬트, TX, 미국	Jefferson County	BPT
Qamdo, China	Bangda	BPX
창두, 중국	창두 밤다 에어포트	BPX
Bogorodskoje, 러시아	Bogorodskoye	BQG
Batagay, 러시아	Batagay	BQJ
브런즈윅, GA, 미국	브런즈윅 골든 아일스공항	BQK
브런즈윅, GA, 미국	Glynco Jetport	BQK
불리어, QLD, 호주	Boulia	BQL
Aguadilla, Puerto Rico	Borinquen	BQN
아과디야, 푸에르토리코	라파엘 에르난데스공항	BQN
아과디야, 푸에르토리코	Rafael Hernández	BQN
블라고베셴스크, 러시아	Blagoveschensk	BQS
블라고베셴스크, 러시아	이그나티예보 에어포트	BQS
블라고베셴스크, 러시아	Ignatyevo	BQS
브레스트, 벨라루스	브레스트 공항	BQT
브레스트, 벨라루스	Brest	BQT
바레이라스, 브라질	바헤이라스 에어포트	BRA
산카를로스데바릴로체, 아르헨티나	테니엔테 루이스 칸델라리아 국제공항	BRC
산카를로스데바릴로체, 아르헨티나	Teniente Luis Candelaria	BRC
브레이너드, MN, 미국	브레이너드공항	BRD
브레멘, 독일	브레멘공항	BRE
바리, 이탈리아	Bari	BRI
바리, 이탈리아	바리-카롤 보이티와 공항	BRI
바리, 이탈리아	Bari Karol Wojtyła	BRI
버크, NSW, 호주	버크 에어포트	BRK
벌링턴, 아이오와주, 미국	사우스이스트아이오와지역공항	BRL
베른, 스위스	베른-벨프공항	BRN
브라운스빌, TX, 미국	사우스 파드레 아일랜드 국제공항	BRO
브르노, 체코	Brno-Turany	BRQ
브르노, 체코	브르노투라니공항	BRQ
브르노, 체코	Turany	BRQ
바라 섬, 영국	North Bay	BRR
브리스톨, 영국	Bristol	BRS
브리스톨, 영국	브리스톨 공항	BRS
브뤼셀, 벨기에	모든 공항	BRU
브뤼셀, 벨기에	Zaventem	BRU
배로우, AK, 미국	윌리 포스트-윌 로저스 메모리얼 에어포트	BRW
배로우, AK, 미국	Wiley Post/W.Rogers	BRW
Bosaso, 소말리아	벤데르 카심 국제공항	BSA
브라질리아, 브라질	Brasilia	BSB
브라질리아, 브라질	브라질리아 국제공항	BSB
브라질리아, 브라질	Brasília–Presidente Juscelino Kubitschek Intl	BSB
Mutis, 콜롬비아	호세 셀레스티노 무티스 에어포트	BSC
바오산, 중국	Baoshan	BSD
바오산, 중국	바오산 에어포트	BSD
바타, Equatorial Guinea	바타 에어포트	BSG
바타, GNQ	바타 에어포트	BSG
바타, 적도기니	바타 에어포트	BSG
비스크라, 알제리	비스크라 공항	BSK
바젤, 스위스	EuroAirport Swiss	BSL
바젤, 스위스	Freiburg	BSL
바젤, 스위스	MLH	BSL
바젤, 스위스	Basel/Mulhouse	BSL
유로공항	바젤, 스위스	BSL
바스코, 필리핀	바스코 에어포트	BSO
바스라, 이라크	바르사 국제공항	BSR
라슈카르가, 아프가니스탄	Lashkar Gah Bost	BST
라슈카르가, 아프가니스탄	보스트 에어포트	BST
배티카로아, 스리랑카	SLAF 바티칼로아	BTC
Batam, Indonesia	Hang Nadim	BTH
바탐, 인도네시아	항나딤공항	BTH
바탐, 인도네시아	Hang Nadim	BTH
Barter Island, AK, 미국	바터 아일랜드 LRRS 에어포트	BTI
Banda Aceh, Indonesia	Blang Bintang	BTJ
Luengbata, Indonesia	Blang Bintang	BTJ
반다아체, 인도네시아	Blang Bintang	BTJ
반다아체, 인도네시아	술탄 이스칸다르 무다 인터내셔널 에어포트	BTJ
브라츠크, 러시아	브라츠크 에어포트	BTK
뷰트, MT, 미국	Silver Bow Co	BTM
뷰트, MT, 미국	버트무니공항	BTM
뷰트, MT, 미국	Butte	BTM
배턴루지, LA, 미국	배턴루지매트로폴리탄공항	BTR
배턴루지, LA, 미국	Baton Rouge Metropolitan	BTR
배턴루지, LA, 미국	Ryan	BTR
브라티슬라바, Slovakia	밀란라스티슬라브스테파니크공항	BTS
브라티슬라바, SVK	밀란라스티슬라브스테파니크공항	BTS
브라티슬라바, 슬로바키아	밀란라스티슬라브스테파니크공항	BTS
브라티슬라바, 슬로바키아	Ivanka	BTS
베틀스, AK, 미국	Bettles	BTT
베틀스, AK, 미국	배틀스 에어포트	BTT
빈툴루, 말레이시아	Bintulu	BTU
빈툴루, 말레이시아	빈툴루 공항	BTU
벌링턴, VT, 미국	벌링턴국제공항	BTV
벌링턴, VT, 미국	Burlington	BTV
Buka, 파푸아뉴기니	부카 에어포트	BUA
Ieta, Papua New Guinea	Buka	BUA
버켓타운, 퀸즐랜드, 호주	Burketown	BUC
부다페스트, 헝가리	프란츠리스트국제공항	BUD
부다페스트, 헝가리	Ferenc Liszt Intl	BUD
부에노스아이레스, 아르헨티나	모든 공항	BUE
버펄로, NY, 미국	나이아가라국제공항	BUF
버펄로, NY, 미국	Buffalo Niagara Intl	BUF
Bucharest, Romania	All airports	BUH
Bukarest, Romania	All airports	BUH
부쿠레슈티, 루마니아	모든 공항	BUH
Bulolo, 파푸아뉴기니	Bulolo	BUL
부에나벤투라, 콜롬비아	제라르도 토바르 로페즈 에어포트	BUN
바틴다, 인도	Bathinda	BUP
불라와요, 짐바브웨	Bulawayo	BUQ
불라와요, 짐바브웨	조슈아 음카부코 은코모 국제공항	BUQ
버뱅크, CA, 미국	Bob Hope	BUR
버뱅크, CA, 미국	밥호프공항	BUR
바투미, 조지아	바투미 국제공항	BUS
Jakar, Bhutan	Bathpalathang	BUT
자카르, BTN	Bathpalathang	BUT
자카르, 부탄	Bathpalathang	BUT
Baubau, 인도네시아	Betoambari	BUW
부니아, 콩고민주공화국	부니아 에어포트	BUX
Bushehr, 이란	Bushehr	BUZ
보베공항	파리, 프랑스	BVA
파리, 프랑스	Beauvais-Tille	BVA
파리, 프랑스	보베공항	BVA
보아비스타, 브라질	Boa Vista	BVB
보아비스타, 브라질	보아비스타 인터내셔널 에어포트	BVB
Rabil, 카보베르데	아리스티데스 페레이라 국제공항	BVC
Brive-la-Gaillarde, France	Brive-Dordogne Valley	BVE
브리브 라 가야르드, 프랑스	브리브-수이약 에어포트	BVE
브리브 라 가야르드, 프랑스	Brive-Dordogne Valley	BVE
베르레바그, 노르웨이	베르레바그 에어포트	BVG
빌레나, 브라질	빌례나 에어포트	BVH
버즈빌, QLD, 호주	버즈빌 에어포트	BVI
비버리, MA, 미국	Beverly	BVY
비버리, MA, 미국	베벌리 뮤니시플 에어포트	BVY
Siddharthanagar, Nepal	Bhairawa	BWA
바이라하와, 네팔	Bhairawa	BWA
바이라하와, 네팔	바이라와 에어포트	BWA
브라운슈바이크, 독일	브라운슈바이크공항	BWE
브라운슈바이크, 독일	Braunschweig-Wolfsburg	BWE
볼티모어, MD, 미국	Baltimore/Washington	BWI
볼티모어, MD, 미국	볼티모어워싱턴공항	BWI
볼티모어, MD, 미국	Baltimore/Washington Intl Thurgood Marshall	BWI
볼티모어워싱턴공항	볼티모어, MD, 미국	BWI
볼, 크로아티아	Bol	BWK
볼, 크로아티아	브라치공항	BWK
Bandar Seri Begawan, Brunei Darussalam	Brunei Intl	BWN
Bandar Seri Begawan, Nation of Brunei, the Abode of Peace	Brunei Intl	BWN
반다르세리베가완, 브루나이	Brunei Intl	BWN
반다르세리베가완, 브루나이	브루나이국제공항	BWN
버니, 태즈메이니아, 호주	버니 에어포트	BWT
버니, 태즈메이니아, 호주	Burnie Wynyard	BWT
Salina, 쿠바	Las Brujas	BWW
바뉴왕기, 인도네시아	Blimbingsari	BWX
Babo, 인도네시아	Babo	BXB
벤디고, VIC, 호주	벤디고 에어포트	BXG
Agusan del Norte, Philippines	Butuan	BXU
부투안, 필리핀	Butuan	BXU
부투안, 필리핀	밴캐시 에어포트	BXU
Baikonur, 카자흐스탄	Krayniy	BXY
알버트, 프랑스	Albert – Picardie	BYF
부아케, 코트디부아르	브와케 에어포트	BYK
Bayamo, 쿠바	C.M. de Cespedes	BYM
보니토, 브라질	Bonito	BYO
보니토, 브라질	보니투 에어포트	BYO
뉴먼, WA, 호주	Barimunya	BYP
벨리즈 시티, BLZ	필립 S. W. 골드슨 국제공항	BZE
벨리즈 시티, 벨리즈	필립 S. W. 골드슨 국제공항	BZE
벨리즈 시티, 벨리즈	Philip S.W.Goldson	BZE
비드고슈치, 폴란드	Bydgoszcz	BZG
비드고슈치, 폴란드	비드고슈치 이그나치 얀 파데레프스키 공항	BZG
브랸스크, 러시아	Bryansk	BZK
브랸스크, 러시아	브랸스크 인터내셔널 에어포트	BZK
Barisāl, 방글라데시	바리살 에어포트	BZL
보즈먼, MT, 미국	Bozeman Yellowstone Intl	BZN
보즈먼, MT, 미국	갤러틴 필드 에어포트	BZN
보즈먼, MT, 미국	Gallatin Field	BZN
베지에, 프랑스	Beziers Vias	BZR
베지에, 프랑스	베지에 카프다그드 공항	BZR
브라자빌, COG	마야-마야 공항	BZV
브라자빌, 콩고	마야-마야 공항	BZV
브라자빌, 콩고	Maya Maya	BZV
Bazhong, China	Enyang	BZX
바중, 중국	Enyang	BZX
브리즈 노턴, 영국	Brize Norton	BZZ
카빈다, 앙골라	카빈다 에어포트	CAB
카스카벨, 브라질	카스카벨공항	CAC
Fort Jackson, SC	Metropolitan	CAE
컬럼비아, SC, 미국	콜럼비아메트로폴리탄공항	CAE
컬럼비아, SC, 미국	Metropolitan	CAE
칼리아리, 이탈리아	칼리아리엘마스 공항	CAG
칼리아리, 이탈리아	Elmas	CAG
까마우, 베트남	까마우 공항	CAH
카이로, Egypt	카이로국제공항	CAI
카이로, 이집트	카이로국제공항	CAI
애크런, 오하이오, 미국	Akron/Canton	CAK
애크런, 오하이오, 미국	애크런 캔턴공항	CAK
캠벨타운, 영국	켐벨타운공항	CAL
광저우, 중국	Baiyun	CAN
광저우, 중국	광저우바이윈국제공항	CAN
광저우, 중국	Guangzhou Baiyun Intl	CAN
카프아이시앵, 아이티	카프아이시앵 인터내셔널 에어포트	CAP
카스카이스, 포르투갈	Cascais Aerodrome	CAT
Campos dos Goytacazes, Brazil	Bartolomeu Lisandro	CAW
캄포스 도스 고이타카제스, 브라질	바르톨로메오 리산드로 에어포트	CAW
칼라일, 영국	칼라일공항	CAX
카옌느, GUF	카옌로샹부 공항	CAY
카옌느, 프랑스령 기아나	카옌로샹부 공항	CAY
카옌느, 프랑스령 기아나	Cayenne – Félix Eboué	CAY
